,0,1
0,Afrikaans,af
1,Albanian,sq
2,Amharic,am
3,Arabic,ar
4,Armenian,hy
5,Assamese,as
6,Azerbaijani,az
7,Bangla,bn
8,Bosnian,bs
9,Bulgarian,bg
10,Cantonese,yue
11,Catalan,ca
12,Chinese,lzh
13,ChineseSimplified,zh-Hans
14,ChineseTraditional,zh-Hant
15,Croatian,hr
16,Czech,cs
17,Danish,da
18,Dari,prs
19,Dutch,nl
20,English,en
21,Estonian,et
22,Fijian,fj
23,Filipino,fil
24,Finnish,fi
25,French,fr
26,French,fr-ca
27,German,de
28,Greek,el
29,Gujarati,gu
30,HaitianCreole,ht
31,Hebrew,he
32,Hindi,hi
33,HmongDaw,mww
34,Hungarian,hu
35,Icelandic,is
36,Indonesian,id
37,Inuktitut,iu
38,Irish,ga
39,Italian,it
40,Japanese,ja
41,Kannada,kn
42,Kazakh,kk
43,Khmer,km
44,Klingon,tlh-Latn
45,Klingon,tlh-Piqd
46,Korean,ko
47,Kurdish,ku
48,Kurdish,kmr
49,Lao,lo
50,Latvian,lv
51,Lithuanian,lt
52,Malagasy,mg
53,Malay,ms
54,Malayalam,ml
55,Maltese,mt
56,Maori,mi
57,Marathi,mr
58,Myanmar,my
59,Nepali,ne
60,Norwegian,nb
61,Odia,or
62,Pashto,ps
63,Persian,fa
64,Polish,pl
65,Portuguese,pt
66,Portuguese,pt-pt
67,Punjabi,pa
68,QueretaroOtomi,otq
69,Romanian,ro
70,Russian,ru
71,Samoan,sm
72,Serbian,sr-Cyrl
73,Serbian,sr-Latn
74,Slovak,sk
75,Slovenian,sl
76,Spanish,es
77,Swahili,sw
78,Swedish,sv
79,Tahitian,ty
80,Tamil,ta
81,Telugu,te
82,Thai,th
83,Tigrinya,ti
84,Tongan,to
85,Turkish,tr
86,Ukrainian,uk
87,Urdu,ur
88,Vietnamese,vi
89,Welsh,cy
90,YucatecMaya,yua
