,0,1,2
0,af-ZA,Afrikaans,af-ZA-AdriNeural
2,am-ET,Amharic,am-ET-AmehaNeural
4,ar-AE,Arabic,ar-AE-FatimaNeural
36,az-AZ,Azerbaijani,az-AZ-BabekNeural
38,bg-BG,Bulgarian,bg-BG-BorislavNeural
40,bn-BD,Bangla,bn-BD-NabanitaNeural
42,bn-IN,Bengali,bn-IN-BashkarNeural
44,bs-BA,Bosnian,bs-BA-GoranNeural
46,ca-ES,Catalan,ca-ES-AlbaNeural
49,cs-CZ,Czech,cs-CZ-AntoninNeural
51,cy-GB,Welsh,cy-GB-AledNeural
53,da-DK,Danish,da-DK-ChristelNeural
55,de-AT,German,de-AT-IngridNeural
74,el-GR,Greek,el-GR-AthinaNeural
76,en-AU,English,en-AU-AnnetteNeural
151,es-AR,Spanish,es-AR-ElenaNeural
221,et-EE,Estonian,et-EE-AnuNeural
223,eu-ES,Basque,eu-ES-AinhoaNeural
225,fa-IR,Persian,fa-IR-DilaraNeural
227,fi-FI,Finnish,fi-FI-HarriNeural
230,fil-PH,Filipino,fil-PH-AngeloNeural
232,fr-BE,French,fr-BE-CharlineNeural
253,ga-IE,Irish,ga-IE-ColmNeural
255,gl-ES,Galician,gl-ES-RoiNeural
257,gu-IN,Gujarati,gu-IN-DhwaniNeural
259,he-IL,Hebrew,he-IL-AvriNeural
261,hi-IN,Hindi,hi-IN-MadhurNeural
263,hr-HR,Croatian,hr-HR-GabrijelaNeural
265,hu-HU,Hungarian,hu-HU-NoemiNeural
267,hy-AM,Armenian,hy-AM-AnahitNeural
269,id-ID,Indonesian,id-ID-ArdiNeural
271,is-IS,Icelandic,is-IS-GudrunNeural
273,it-IT,Italian,it-IT-BenignoNeural
288,ja-JP,Japanese,ja-JP-AoiNeural
295,jv-ID,Javanese,jv-ID-DimasNeural
297,ka-GE,Georgian,ka-GE-EkaNeural
299,kk-KZ,Kazakh,kk-KZ-AigulNeural
301,km-KH,Khmer,km-KH-PisethNeural
303,kn-IN,Kannada,kn-IN-GaganNeural
305,ko-KR,Korean,ko-KR-BongJinNeural
313,lo-LA,Lao,lo-LA-ChanthavongNeural
315,lt-LT,Lithuanian,lt-LT-LeonasNeural
317,lv-LV,Latvian,lv-LV-EveritaNeural
319,mk-MK,Macedonian,mk-MK-AleksandarNeural
321,ml-IN,Malayalam,ml-IN-MidhunNeural
323,mn-MN,Mongolian,mn-MN-BataaNeural
325,mr-IN,Marathi,mr-IN-AarohiNeural
327,ms-MY,Malay,ms-MY-OsmanNeural
329,mt-MT,Maltese,mt-MT-GraceNeural
331,my-MM,Burmese,my-MM-NilarNeural
333,nb-NO,Norwegian,nb-NO-FinnNeural
336,ne-NP,Nepali,ne-NP-HemkalaNeural
338,nl-BE,Dutch,nl-BE-ArnaudNeural
343,pl-PL,Polish,pl-PL-AgnieszkaNeural
346,ps-AF,Pashto,ps-AF-GulNawazNeural
348,pt-BR,Portuguese,pt-BR-AntonioNeural
366,ro-RO,Romanian,ro-RO-AlinaNeural
368,ru-RU,Russian,ru-RU-DariyaNeural
371,si-LK,Sinhala,si-LK-SameeraNeural
373,sk-SK,Slovak,sk-SK-LukasNeural
375,sl-SI,Slovenian,sl-SI-PetraNeural
377,so-SO,Somali,so-SO-MuuseNeural
379,sq-AL,Albanian,sq-AL-AnilaNeural
381,sr-RS,Serbian,sr-RS-NicholasNeural
383,su-ID,Sundanese,su-ID-JajangNeural
385,sv-SE,Swedish,sv-SE-HilleviNeural
388,sw-KE,Swahili,sw-KE-RafikiNeural
392,ta-IN,Tamil,ta-IN-PallaviNeural
400,te-IN,Telugu,te-IN-MohanNeural
402,th-TH,Thai,th-TH-AcharaNeural
405,tr-TR,Turkish,tr-TR-AhmetNeural
407,uk-UA,Ukrainian,uk-UA-OstapNeural
409,ur-IN,Urdu,ur-IN-GulNeural
413,uz-UZ,Uzbek,uz-UZ-MadinaNeural
415,vi-VN,Vietnamese,vi-VN-HoaiMyNeural
417,wuu-CN,Chinese,wuu-CN-XiaotongNeural
453,zu-ZA,Zulu,zu-ZA-ThandoNeural
